feature,coef,abs_coef
15,-8.452991784674932,8.452991784674932
12,8.289888613712108,8.289888613712108
5,2.9332263291377383,2.9332263291377383
25,2.7090143130688893,2.7090143130688893
3_REJ,-2.6274129910007638,2.6274129910007638
22,1.9984454555807234,1.9984454555807234
27,1.8511925171242682,1.8511925171242682
32,-1.8120071976319667,1.8120071976319667
7,1.4600684935675206,1.4600684935675206
21,-1.316652885572766,1.316652885572766
9,1.2530188724546238,1.2530188724546238
2_http,-1.249754498878613,1.249754498878613
2_smtp,-1.1692400464455595,1.1692400464455595
2_private,1.137471646550284,1.137471646550284
38,1.1303208929242616,1.1303208929242616
3_S0,1.002685627915519,1.002685627915519
2_domain_u,-0.986379577127382,0.986379577127382
35,0.9416592330688712,0.9416592330688712
1_udp,-0.9384974320719258,0.9384974320719258
39,0.8998058478868558,0.8998058478868558
31,0.8056376081061054,0.8056376081061054
33,0.8016693733609065,0.8016693733609065
2_telnet,-0.7609698499749552,0.7609698499749552
28,-0.7474216904973724,0.7474216904973724
2_ftp_data,-0.7416303263735546,0.7416303263735546
2_uucp,0.7341417029288337,0.7341417029288337
26,0.6877893164032407,0.6877893164032407
24,-0.6725945766815532,0.6725945766815532
11,0.6383809873473216,0.6383809873473216
2_gopher,0.6104656277905122,0.6104656277905122
2_other,-0.561613926007511,0.561613926007511
3_RSTO,-0.5582191676406071,0.5582191676406071
2_IRC,-0.5575427220885283,0.5575427220885283
2_iso_tsap,0.5220383771878021,0.5220383771878021
2_whois,0.5154824834588895,0.5154824834588895
23,-0.5073318507123317,0.5073318507123317
2_csnet_ns,0.49715744281424434,0.49715744281424434
2_supdup,0.464853947047758,0.464853947047758
2_name,0.43092726270495496,0.43092726270495496
3_S1,-0.4297442364854615,0.4297442364854615
2_ctf,0.4217057684405969,0.4217057684405969
2_hostnames,0.4169648508555875,0.4169648508555875
2_courier,0.4127665429950769,0.4127665429950769
2_Z39_50,0.4092265766870973,0.4092265766870973
2_urp_i,-0.40358582570319135,0.40358582570319135
2_daytime,0.39867632837448136,0.39867632837448136
30,0.398035444828968,0.398035444828968
2_nnsp,0.39216383993827436,0.39216383993827436
2_link,0.3909448155539664,0.3909448155539664
2_nntp,0.38673212869745754,0.38673212869745754
2_mtp,0.38352626222099423,0.38352626222099423
2_bgp,0.37176788038432357,0.37176788038432357
2_netstat,0.3689044846288327,0.3689044846288327
36,0.36686213706722964,0.36686213706722964
2_systat,0.3607819425274427,0.3607819425274427
2_http_443,0.35980408980481215,0.35980408980481215
2_uucp_path,0.3492042842235362,0.3492042842235362
2_echo,0.34691829931584484,0.34691829931584484
2_efs,0.34293903789410457,0.34293903789410457
2_ldap,0.33944914131886195,0.33944914131886195
2_vmnet,0.3358227100802541,0.3358227100802541
2_finger,-0.3315763922389259,0.3315763922389259
2_ntp_u,-0.3121233067702662,0.3121233067702662
2_klogin,0.3106071218697756,0.3106071218697756
2_netbios_dgm,0.3009383231527845,0.3009383231527845
2_ftp,-0.290319578638137,0.290319578638137
2_auth,-0.2872332573346373,0.2872332573346373
2_netbios_ssn,0.2818102661292638,0.2818102661292638
2_pop_3,-0.28119241697015884,0.28119241697015884
2_netbios_ns,0.26817721927179294,0.26817721927179294
2_time,-0.26289540641033493,0.26289540641033493
2_exec,0.2622256688319378,0.2622256688319378
2_kshell,0.26009659224375953,0.26009659224375953
2_login,0.25979351081636437,0.25979351081636437
2_sql_net,0.24453978084650915,0.24453978084650915
14,-0.23758657585254284,0.23758657585254284
2_domain,-0.2350695558443523,0.2350695558443523
34,0.2314330225912891,0.2314330225912891
1_tcp,-0.21168646193116308,0.21168646193116308
0,-0.19212696267702367,0.19212696267702367
2_rje,0.1842709359703537,0.1842709359703537
29,-0.18021390451298258,0.18021390451298258
2_remote_job,0.17601066151652556,0.17601066151652556
40,-0.1665325120876619,0.1665325120876619
2_discard,0.15803740364836363,0.15803740364836363
3_RSTOS0,0.15735108538197967,0.15735108538197967
3_RSTR,0.15361210953230345,0.15361210953230345
16,-0.13976406205662914,0.13976406205662914
2_pop_2,0.13724312556057341,0.13724312556057341
37,0.13089708829330807,0.13089708829330807
3_S2,-0.11927755936653443,0.11927755936653443
6,-0.11763345261761111,0.11763345261761111
4,0.1170209865426146,0.1170209865426146
2_X11,-0.09572742124017257,0.09572742124017257
2_ecr_i,0.09554846063340594,0.09554846063340594
18,-0.09096935804724621,0.09096935804724621
13,0.08294998225619465,0.08294998225619465
2_shell,-0.08291495375636923,0.08291495375636923
10,0.08174953054693304,0.08174953054693304
3_OTH,0.07137096022081234,0.07137096022081234
3_S3,-0.07130711005840745,0.07130711005840745
2_sunrpc,0.07028825823081888,0.07028825823081888
2_urh_i,-0.06977401091222399,0.06977401091222399
3_SH,-0.06376384757011809,0.06376384757011809
2_red_i,-0.060835426953466776,0.060835426953466776
3_SF,-0.06062365397546948,0.06062365397546948
2_pm_dump,0.057610754153795685,0.057610754153795685
2_printer,0.05443481390790178,0.05443481390790178
1_icmp,-0.040336771059753335,0.040336771059753335
2_tftp_u,-0.031141966537242806,0.031141966537242806
2_imap4,0.02882312544091442,0.02882312544091442
2_eco_i,0.022863248744271175,0.022863248744271175
20,-0.016351319175793532,0.016351319175793532
17,0.015961182364815148,0.015961182364815148
2_ssh,-0.014017342072188627,0.014017342072188627
2_tim_i,-0.011858144544247544,0.011858144544247544
2_aol,0.005587821039085283,0.005587821039085283
8,-0.005475459660134845,0.005475459660134845
2_http_8001,0.005437118756499185,0.005437118756499185
2_harvest,0.004979331071017183,0.004979331071017183
2_http_2784,0.004000142127336684,0.004000142127336684
19,0.0,0.0
