model,threshold,category,missed_attacks_fn,total_attacks_in_test,detection_rate
LogReg,0.05,DoS,884,7458,0.881469562885492
LogReg,0.05,Probe,265,2421,0.8905410987195373
LogReg,0.05,R2L,1860,2754,0.3246187363834423
LogReg,0.05,U2R,155,200,0.22499999999999998
LogReg,0.3,DoS,1306,7458,0.8248860284258515
LogReg,0.3,Probe,433,2421,0.8211482858323007
LogReg,0.3,R2L,2649,2754,0.03812636165577343
LogReg,0.3,U2R,177,200,0.11499999999999999
LogReg,0.9,DoS,1634,7458,0.7809064092249933
LogReg,0.9,Probe,919,2421,0.6204047914085089
LogReg,0.9,R2L,2754,2754,0.0
LogReg,0.9,U2R,191,200,0.04500000000000004
RandomForest,0.05,DoS,93,7458,0.9875301689460981
RandomForest,0.05,Probe,0,2421,0.0
RandomForest,0.05,R2L,997,2754,0.6379811183732753
RandomForest,0.05,U2R,14,200,0.9299999999999999
RandomForest,0.3,DoS,890,7458,0.8806650576562081
RandomForest,0.3,Probe,227,2421,0.906237092110698
RandomForest,0.3,R2L,2412,2754,0.12418300653594772
RandomForest,0.3,U2R,160,200,0.19999999999999996
RandomForest,0.9,DoS,2132,7458,0.714132475194422
RandomForest,0.9,Probe,1098,2421,0.5464684014869888
RandomForest,0.9,R2L,2754,2754,0.0
RandomForest,0.9,U2R,200,200,0.0
GradBoost,0.05,DoS,340,7458,0.9544113703405739
GradBoost,0.05,Probe,48,2421,0.9801734820322181
GradBoost,0.05,R2L,1428,2754,0.4814814814814815
GradBoost,0.05,U2R,45,200,0.775
GradBoost,0.3,DoS,1140,7458,0.8471440064360418
GradBoost,0.3,Probe,217,2421,0.9103676166873192
GradBoost,0.3,R2L,2366,2754,0.14088598402323893
GradBoost,0.3,U2R,73,200,0.635
GradBoost,0.9,DoS,1767,7458,0.7630732099758648
GradBoost,0.9,Probe,994,2421,0.5894258570838496
GradBoost,0.9,R2L,2605,2754,0.054103122730573716
GradBoost,0.9,U2R,200,200,0.0
