threshold,tp,fp,tn,fn,recall_malicious,precision_malicious,false_positive_rate,false_negative_rate,alert_rate,model
0.05,10972,587,9124,1861,0.8549832463180862,0.9492170602993338,0.06044691586860262,0.14501675368191383,0.5127306600425834,GradBoost
0.1,10268,406,9305,2565,0.8001246785630796,0.9619636499906314,0.04180825867572856,0.19987532143692044,0.4734740951029099,GradBoost
0.15,9833,327,9384,3000,0.766227694225824,0.9678149606299212,0.03367315415508187,0.23377230577417596,0.45067423704755144,GradBoost
0.2,9618,294,9417,3215,0.749474012312008,0.9703389830508474,0.03027494593759654,0.2505259876879919,0.4396735273243435,GradBoost
0.25,9192,291,9420,3641,0.7162783448920751,0.969313508383423,0.029966017917825147,0.2837216551079249,0.4206440738112136,GradBoost
0.3,9037,287,9424,3796,0.7042001090937426,0.9692192192192193,0.02955411389146329,0.2957998909062573,0.41359119943222145,GradBoost
0.4,8848,276,9435,3985,0.6894724538299696,0.9697501096010521,0.02842137781896818,0.31052754617003037,0.4047196593328602,GradBoost
0.5,8726,254,9457,4107,0.6799657133951531,0.9717149220489978,0.026155905673977964,0.3200342866048469,0.3983321504613201,GradBoost
0.7,8080,252,9459,4753,0.6296267435517806,0.9697551608257321,0.025949953660797033,0.37037325644821945,0.36958836053938965,GradBoost
0.9,7267,217,9494,5566,0.5662744486869788,0.971004810261892,0.02234579343013078,0.4337255513130211,0.33197303051809796,GradBoost
0.95,6965,187,9524,5868,0.5427413699057119,0.9738534675615212,0.019256513232416846,0.4572586300942882,0.31724627395315824,GradBoost
0.05,9669,1272,8439,3164,0.7534481415101691,0.8837400603235536,0.13098548038307076,0.2465518584898309,0.4853176011355571,LogReg
0.1,8944,967,8744,3889,0.6969531676147432,0.902431641610332,0.0995777983729791,0.30304683238525676,0.4396291696238467,LogReg
0.15,8788,895,8816,4045,0.684797007714486,0.9075699679851286,0.09216352589846566,0.3152029922855139,0.42951561391057486,LogReg
0.2,8585,854,8857,4248,0.6689784150237669,0.9095243140163153,0.08794150962825661,0.33102158497623313,0.41869233498935415,LogReg
0.25,8410,810,8901,4423,0.6553416971869399,0.9121475054229935,0.08341056533827618,0.3446583028130601,0.40897799858055356,LogReg
0.3,8268,791,8920,4565,0.6442764747136289,0.9126835191522243,0.08145402121305735,0.3557235252863711,0.40183640880056776,LogReg
0.4,8118,755,8956,4715,0.6325878594249201,0.9149104023441902,0.07774688497580064,0.36741214057507987,0.3935858765081618,LogReg
0.5,8003,720,8991,4830,0.6236265877035767,0.9174595895907371,0.07414272474513438,0.3763734122964233,0.38693222143364087,LogReg
0.7,7725,687,9024,5108,0.601963687368503,0.9183309557774608,0.07074451652764906,0.3980363126314969,0.37313697657913414,LogReg
0.9,7335,641,9070,5498,0.5715732876178602,0.9196339017051154,0.0660076202244877,0.4284267123821398,0.3537970191625266,LogReg
0.95,6942,602,9109,5891,0.5409491155614432,0.9202014846235419,0.06199155596745958,0.45905088443855685,0.33463449254790634,LogReg
0.05,11729,1027,8684,1104,0.9139717914751032,0.919488867983694,0.10575635876840696,0.08602820852489675,0.5658268275372604,RandomForest
0.1,11036,936,8775,1797,0.8599703888412686,0.921817574340127,0.0963855421686747,0.1400296111587314,0.5310503903477644,RandomForest
0.15,10511,900,8811,2322,0.8190602353307879,0.9211287354307247,0.09267840593141798,0.1809397646692122,0.506165720369056,RandomForest
0.2,9947,669,9042,2886,0.7751110418452427,0.9369819140919367,0.0688909484090207,0.22488895815475726,0.4709013484740951,RandomForest
0.25,9509,341,9370,3324,0.740980285202213,0.9653807106598985,0.03511481824734837,0.25901971479778696,0.43692334989354153,RandomForest
0.3,9144,306,9405,3689,0.7125379879996883,0.9676190476190476,0.03151065801668211,0.2874620120003117,0.41918026969481903,RandomForest
0.4,8686,275,9436,4147,0.6768487493181641,0.9693114607744672,0.028318401812377717,0.32315125068183587,0.39748935415188075,RandomForest
0.5,8030,264,9447,4803,0.6257305384555443,0.9681697612732095,0.027185665739882608,0.3742694615444557,0.367902767920511,RandomForest
0.7,7245,248,9463,5588,0.5645601184446349,0.9669024422794609,0.025538049634435178,0.43543988155536506,0.3323722498225692,RandomForest
0.9,6649,204,9507,6184,0.5181173536974987,0.9702320151758353,0.02100710534445474,0.4818826463025014,0.3039833215046132,RandomForest
0.95,6297,160,9551,6536,0.4906880698199953,0.9752206907232461,0.016476161054474307,0.5093119301800046,0.28641767210787794,RandomForest
