cost_name,scenario,best_model,threshold,total_cost,cost_per_10k_records,precision_malicious,recall_malicious,fp,fn
balanced_5x,original,RandomForest,0.3,18751,8317.51242015614,0.9676190476190476,0.7125379879996883,306,3689
balanced_5x,10pct_attack,RandomForest,0.3,1846,1710.843373493976,0.7158774373259053,0.7145505097312326,306,308
balanced_5x,1pct_attack,GradBoost,0.3,397,404.7303496788664,0.209366391184573,0.7755102040816326,287,22
balanced_5x,0_1pct_attack,GradBoost,0.3,292,300.4115226337449,0.0271186440677966,0.8888888888888888,287,1
security_10x,original,RandomForest,0.3,37196,16499.29027679205,0.9676190476190476,0.7125379879996883,306,3689
security_10x,10pct_attack,RandomForest,0.3,3386,3138.0908248378128,0.7158774373259053,0.7145505097312326,306,308
security_10x,1pct_attack,GradBoost,0.3,507,516.8722601692324,0.209366391184573,0.7755102040816326,287,22
security_10x,0_1pct_attack,GradBoost,0.3,297,305.55555555555554,0.0271186440677966,0.8888888888888888,287,1
critical_25x,original,RandomForest,0.3,92531,41044.62384669978,0.9676190476190476,0.7125379879996883,306,3689
critical_25x,10pct_attack,RandomForest,0.3,8006,7419.833178869324,0.7158774373259053,0.7145505097312326,306,308
critical_25x,1pct_attack,GradBoost,0.3,837,853.2979916403303,0.209366391184573,0.7755102040816326,287,22
critical_25x,0_1pct_attack,GradBoost,0.3,312,320.9876543209877,0.0271186440677966,0.8888888888888888,287,1
