scenario,model,threshold,cost_name,fp,fn,fp_cost,fn_cost,total_cost,cost_per_10k_records,precision_malicious,recall_malicious
original,LogReg,0.3,balanced_5x,791,4565,1,5,23616,10475.514549325764,0.9126835191522245,0.6442764747136289
original,LogReg,0.3,security_10x,791,4565,1,10,46441,20600.15968772179,0.9126835191522245,0.6442764747136289
original,LogReg,0.3,critical_25x,791,4565,1,25,114916,50974.095102909865,0.9126835191522245,0.6442764747136289
original,RandomForest,0.3,balanced_5x,306,3689,1,5,18751,8317.51242015614,0.9676190476190476,0.7125379879996883
original,RandomForest,0.3,security_10x,306,3689,1,10,37196,16499.29027679205,0.9676190476190476,0.7125379879996883
original,RandomForest,0.3,critical_25x,306,3689,1,25,92531,41044.62384669978,0.9676190476190476,0.7125379879996883
original,GradBoost,0.3,balanced_5x,287,3796,1,5,19267,8546.398154719658,0.9692192192192192,0.7042001090937426
original,GradBoost,0.3,security_10x,287,3796,1,10,38247,16965.489709013484,0.9692192192192192,0.7042001090937426
original,GradBoost,0.3,critical_25x,287,3796,1,25,95187,42222.76437189496,0.9692192192192192,0.7042001090937426
10pct_attack,LogReg,0.3,balanced_5x,791,379,1,5,2686,2489.341983317887,0.4694835680751174,0.6487488415199258
10pct_attack,LogReg,0.3,security_10x,791,379,1,10,4581,4245.597775718258,0.4694835680751174,0.6487488415199258
10pct_attack,LogReg,0.3,critical_25x,791,379,1,25,10266,9514.36515291937,0.4694835680751174,0.6487488415199258
10pct_attack,RandomForest,0.3,balanced_5x,306,308,1,5,1846,1710.843373493976,0.7158774373259053,0.7145505097312326
10pct_attack,RandomForest,0.3,security_10x,306,308,1,10,3386,3138.0908248378128,0.7158774373259053,0.7145505097312326
10pct_attack,RandomForest,0.3,critical_25x,306,308,1,25,8006,7419.833178869324,0.7158774373259053,0.7145505097312326
10pct_attack,GradBoost,0.3,balanced_5x,287,315,1,5,1862,1725.6719184430028,0.7269267364414843,0.7080630213160334
10pct_attack,GradBoost,0.3,security_10x,287,315,1,10,3437,3185.3568118628364,0.7269267364414843,0.7080630213160334
10pct_attack,GradBoost,0.3,critical_25x,287,315,1,25,8162,7564.411492122336,0.7269267364414843,0.7080630213160334
1pct_attack,LogReg,0.3,balanced_5x,791,40,1,5,991,1010.2966663268427,0.0683156654888103,0.5918367346938775
1pct_attack,LogReg,0.3,security_10x,791,40,1,10,1191,1214.191049036599,0.0683156654888103,0.5918367346938775
1pct_attack,LogReg,0.3,critical_25x,791,40,1,25,1791,1825.8741971658683,0.0683156654888103,0.5918367346938775
1pct_attack,RandomForest,0.3,balanced_5x,306,23,1,5,421,429.19767560403716,0.1968503937007874,0.7653061224489796
1pct_attack,RandomForest,0.3,security_10x,306,23,1,10,536,546.436945662147,0.1968503937007874,0.7653061224489796
1pct_attack,RandomForest,0.3,critical_25x,306,23,1,25,881,898.1547558364766,0.1968503937007874,0.7653061224489796
1pct_attack,GradBoost,0.3,balanced_5x,287,22,1,5,397,404.7303496788664,0.209366391184573,0.7755102040816326
1pct_attack,GradBoost,0.3,security_10x,287,22,1,10,507,516.8722601692324,0.209366391184573,0.7755102040816326
1pct_attack,GradBoost,0.3,critical_25x,287,22,1,25,837,853.2979916403303,0.209366391184573,0.7755102040816326
0_1pct_attack,LogReg,0.3,balanced_5x,791,4,1,5,811,834.3621399176955,0.0062814070351758,0.5555555555555556
0_1pct_attack,LogReg,0.3,security_10x,791,4,1,10,831,854.9382716049382,0.0062814070351758,0.5555555555555556
0_1pct_attack,LogReg,0.3,critical_25x,791,4,1,25,891,916.6666666666666,0.0062814070351758,0.5555555555555556
0_1pct_attack,RandomForest,0.3,balanced_5x,306,1,1,5,311,319.95884773662556,0.0254777070063694,0.8888888888888888
0_1pct_attack,RandomForest,0.3,security_10x,306,1,1,10,316,325.1028806584362,0.0254777070063694,0.8888888888888888
0_1pct_attack,RandomForest,0.3,critical_25x,306,1,1,25,331,340.5349794238683,0.0254777070063694,0.8888888888888888
0_1pct_attack,GradBoost,0.3,balanced_5x,287,1,1,5,292,300.4115226337449,0.0271186440677966,0.8888888888888888
0_1pct_attack,GradBoost,0.3,security_10x,287,1,1,10,297,305.55555555555554,0.0271186440677966,0.8888888888888888
0_1pct_attack,GradBoost,0.3,critical_25x,287,1,1,25,312,320.9876543209877,0.0271186440677966,0.8888888888888888
